Date,Rainfall,PET,Flow
30-09-1992,169.5565,70.146,51.5619
31-10-1992,15.6347,66.699,14.7813
30-11-1992,5.1888,51.226,12.0655
31-12-1992,0,42.448,9.2063
31-01-1993,0,44.828,7.5167
28-02-1993,5.2341,46.455,6.8472
31-03-1993,3.8553,66.71,5.4823
30-04-1993,13.1012,106.439,5.9424
31-05-1993,28.7265,160.429,5.5116
30-06-1993,187.2194,106.132,5.9814
31-07-1993,367.1894,79.167,13.1998
31-08-1993,318.3165,72.92,30.9371
30-09-1993,291.7912,67.657,24.8734
31-10-1993,50.6071,67.916,106.6506
30-11-1993,1.6788,49.032,15.6521
31-12-1993,0,41.253,9.343
31-01-1994,2.8112,45.859,9.0275
28-02-1994,11.4576,45.191,6.4597
31-03-1994,0.6676,80.188,6.7525
30-04-1994,16.9906,95.811,5.8162
31-05-1994,16.7212,154.108,4.8468
30-06-1994,425.8753,101.048,4.5869
31-07-1994,564.6424,68.31,58.038
31-08-1994,472.9318,67.222,278.3722
30-09-1994,233.77,68.5,437.059
31-10-1994,64.6576,65.058,24.7497
30-11-1994,4.3824,48.946,16.2605
31-12-1994,0.0035,43.021,11.1064
31-01-1995,39.1876,40.117,8.7655
28-02-1995,8.2635,44.991,5.9832
31-03-1995,22.8253,67.375,6.3834
30-04-1995,10.7647,101.368,6.9774
31-05-1995,94.3206,117.97,8.7717
30-06-1995,98.8441,136.029,10.5805
31-07-1995,421.1571,77.46,9.8194
31-08-1995,324.1947,74.386,41.8476
30-09-1995,153.7088,72.331,30.9371
31-10-1995,59.9641,66.421,32.9996
30-11-1995,44.9206,48.887,15.7119
31-12-1995,3.8641,44.869,7.3321
31-01-1996,13.5229,45.711,7.3878
29-02-1996,6.8971,48.547,6.371
31-03-1996,8.4865,76.534,6.6515
30-04-1996,12.6712,103.553,5.9812
31-05-1996,9.9394,163.977,7.066
30-06-1996,177.6559,105.563,2.5121
31-07-1996,295.1912,77.856,13.2576
31-08-1996,350.5682,70.787,16.6132
30-09-1996,129.2794,74.989,40.2183
31-10-1996,30.9547,65.684,16.4936
30-11-1996,2.0153,50.372,8.7243
31-12-1996,0.5771,42.448,5.5687
31-01-1997,7.3265,41.859,7.6373
28-02-1997,0.4482,44.759,6.1462
31-03-1997,8.0359,72.235,5.0881
30-04-1997,47.7241,85.965,6.8969
31-05-1997,9.35,147.033,7.3321
30-06-1997,168.9147,118.774,6.7061
31-07-1997,346.4594,77.408,13.1153
31-08-1997,435.9565,72.708,243.1657
30-09-1997,192.6865,72.035,158.9549
31-10-1997,20.9047,65.543,31.9684
30-11-1997,37.3547,55.191,11.0342
31-12-1997,75.0935,46.096,10.6774
31-01-1998,64.0224,44.281,7.2187
28-02-1998,16.0165,46.651,8.2499
31-03-1998,34.4824,64.845,8.6624
30-04-1998,13.6853,103.11,6.5669
31-05-1998,22.3412,170.222,10.4629
30-06-1998,165.3335,136.108,11.3436
31-07-1998,276.5306,80.29,20.4886
31-08-1998,197.2018,78.372,28.9571
30-09-1998,280.3059,75.104,16.4585
31-10-1998,90.2647,72.87,30.9371
30-11-1998,47.2853,52.94,11.9685
31-12-1998,0,42.343,12.7543
31-01-1999,0.0188,42.127,9.2193
28-02-1999,2.7065,51.25,11.8943
31-03-1999,0.8365,77.355,8.1798
30-04-1999,0.0735,131.422,4.2961
31-05-1999,76.8882,140.53,5.2614
30-06-1999,209.4224,96.065,8.2499
31-07-1999,264.66,75.242,19.9462
31-08-1999,356.3476,71.793,30.9371
30-09-1999,232.4824,68.199,131.2353
31-10-1999,71.2235,67.327,55.5424
30-11-1999,4.7759,50.558,17.7311
31-12-1999,0,43.118,11.9417
31-01-2000,1.0494,44.984,10.6313
29-02-2000,17.3188,46.959,10.258
31-03-2000,0.5776,69.834,9.8523
30-04-2000,3.1529,128.573,8.3764
31-05-2000,31.1788,145.073,10.4299
30-06-2000,169.8194,88.502,7.3607
31-07-2000,289.2182,75.011,10.5264
31-08-2000,220.3735,75.334,36.6744
30-09-2000,139.9735,70.945,98.4782
31-10-2000,8.6047,70.906,18.5623
30-11-2000,0.2335,51.816,6.5226
31-12-2000,0.0006,42.19,4.6521
31-01-2001,2.17,43.222,5.6046
28-02-2001,1.2312,49.941,4.368
31-03-2001,29.9018,73.926,3.8987
30-04-2001,20.66,101.406,4.1249
31-05-2001,33.1588,152.15,3.3565
30-06-2001,385.7476,80.877,5.6561
31-07-2001,657.2241,69.959,61.8742
31-08-2001,372.2247,73.12,100.4145
30-09-2001,84.2659,76.909,76.3601
31-10-2001,68.2829,68.348,24.9327
30-11-2001,14.1076,52.858,20.0197
31-12-2001,0,43.403,13.7031
31-01-2002,7.9394,43.424,10.6951
28-02-2002,3.4618,47.286,9.8804
31-03-2002,13.9024,71.598,9.2036
30-04-2002,12.3565,112.592,8.5059
31-05-2002,49.1712,162.407,7.3753
30-06-2002,182.3094,97.798,9.0643
31-07-2002,165.8318,85.854,13.6284
31-08-2002,361.0153,69.352,9.0089
30-09-2002,204.0088,69.111,72.1866
31-10-2002,33.3494,67.478,19.9065
30-11-2002,0.6376,49.08,10.3319
31-12-2002,0.2659,46.101,8.4561
31-01-2003,0.6565,43.892,7.6655
28-02-2003,36.3006,48.84,6.0569
31-03-2003,22.8482,70.438,3.2247
30-04-2003,12.0941,118.525,4.8512
31-05-2003,8.58,172.221,4.65
30-06-2003,179.8676,145.954,3.5227
31-07-2003,380.97,75.665,11.1435
31-08-2003,478.3,71.039,87.9528
30-09-2003,387.0453,67.809,334.0796
31-10-2003,150.3912,65.246,88.9566
30-11-2003,7.26,50.434,30.3699
31-12-2003,19.4312,42.669,15.5779
31-01-2004,19.1324,42.889,8.9716
29-02-2004,6.2635,45.611,7.0784
